No. Of Ads,Ranking,Keywords,Header,Text,URL,Location,Timestamp
4,2,downtown philly restaurants,Restaurant.com®,Official Site - Get Huge Discounts $25 Gift Certificates for Only $10! ,www.Restaurant.com,,1270491244
4,3,downtown philly restaurants,Downtown Dining,"Relaxed &amp; Friendly Near Rittenhouse 261 S. 21st St. Philadelphia, PA. ",www.fridaysaturdaysunday.com,"Philadelphia, PA",1270491244
4,4,downtown philly restaurants,Philly Restaurant Guide,"Sign Up For Thrillist&#39;s Free, Daily Email Updates to Know The Latest ",Thrillist.com,"Philadelphia, PA",1270491244
2,1,vegetarian restaurants in philly,Philly&#39;s Best Restaurants,Unbiased reviews Free concierge/Party Planning ,www.Thebestoffood.com,,1270491256
2,2,vegetarian restaurants in philly,Horizons Restaurant,Healthy Fine-Dining on South Street Modern Cuisine and Warm Atmosphere ,www.horizonsphiladelphia.com,"611 S 7th St, Philadelphia, PA",1270491256
1,1,vegan restaurant options,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1270491269
1,1,my vegan restaurant,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1270491280
1,1,"vegan philly""""",Veg Food in Philly,Find veg-friendly restaurants and shopping in Philly ,www.VegGuide.Org,,1270491291
1,1,"vegetarian philly""""",Modern Vegan Food,"Warm, Unforgettable Atmosphere Extensive Wine List and Great Beer ",www.horizonsphiladelphia.com,"611 S. 7th St, Philadelphia, PA",1270491310
2,1,vegetarian restaurants philly,Modern Vegan Food,"Warm, Unforgettable Atmosphere Extensive Wine List and Great Beer ",www.horizonsphiladelphia.com,"611 S. 7th St, Philadelphia, PA",1270491320
2,2,vegetarian restaurants philly,Restaurants Vegetarian,Looking For Restaurants Vegetarian? Find It By Location With Local.com! ,Local.com,"Philadelphia, PA",1270491320
1,1,vegan restaurants philly,Sweet Freedom Bakery,"Allergen-Free Bakery-215.545.1899 1424 South St Philadelphia, PA ",www.sweetfreedombakery.com,"1424 South Street, Philadelphia, PA",1270491327
1,1,vegan brunch philadelphia,Veg Food in Philly,Find veg-friendly restaurants and shopping in Philly ,www.VegGuide.Org,,1270491337
1,1,vegetarian restaurants pa,Modern Vegan Food,"Warm, Unforgettable Atmosphere Extensive Wine List and Great Beer ",www.horizonsphiladelphia.com,"611 S. 7th St, Philadelphia, PA",1270491347
2,1,philadelphia gluten free restaurants,Modern Vegan Food,"Warm, Unforgettable Atmosphere Extensive Wine List and Great Beer ",www.horizonsphiladelphia.com,"611 S. 7th St, Philadelphia, PA",1270491354
2,2,philadelphia gluten free restaurants,Philly: Free Things to Do,Feeling the pinch? Check out free events on ,www.Phillyfunguide.com,,1270491354
1,1,vegan restaurant nj,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1270491577
1,1,vegetarian restaurant in philly,Modern Vegan Food,"Warm, Unforgettable Atmosphere Extensive Wine List and Great Beer ",www.horizonsphiladelphia.com,"611 S. 7th St, Philadelphia, PA",1270491585
